PL (NUM_DEP,NUM_COM,SECTION,NUM);SURFACE;PERIMETRE;Nseg;N50;P2;MSI;PSI;ELONG
112850B0347;0.08930;151;7;2;56.07;1.425;0.63347751247208;3.053
112850B1477;1.23805;452;9;3;48.10;1.145;0.758173898037605;1.308
112850B1475;0.50002;309;6;2;59.44;1.234;0.704747391935225;2.194
112850B1474;0.28096;331;10;2;52.65;1.761;0.517462342519912;3.902
112850B1391;0.06462;115;4;2;69.72;1.278;0.754974035244434;2.737
112850B1365;0.11785;150;4;2;63.68;1.236;0.793001612600133;2.422
112850B0349;0.10235;139;5;2;56.35;1.227;0.800812130904861;2.569
112850B1389;0.02601;65;4;2;53.80;1.141;0.888718052985953;1.308
112850B0345;0.10115;161;5;2;59.04;1.431;0.676860056997392;3.204
112850B0343;0.15426;177;9;2;56.08;1.271;0.669591982973983;2.082
112850B0340;0.41868;347;13;3;44.06;1.513;0.611348434940529;1.946
112850B1501;0.11669;135;7;3;49.39;1.113;0.810877554632897;1.049
112850B1500;0.13151;154;7;3;46.86;1.196;0.758171165462013;1.566
112850B1539;0.03242;83;5;2;66.28;1.298;0.722168643687773;2.860
112850B1538;0.09003;200;11;3;38.88;1.877;0.538867587775334;1.974
112850B1537;0.01484;54;5;2;54.08;1.249;0.765230443147462;1.326
112850B1536;0.09830;128;4;2;57.77;1.148;0.872710351110135;1.468
112850B1535;0.01869;64;5;2;65.36;1.321;0.71605165918578;2.990
112850B1251;0.76788;363;5;2;57.01;1.170;0.825179461370772;1.010
112850B0359;0.27175;224;6;2;60.54;1.213;0.716642572360983;1.798
112850B0381;0.02965;187;7;2;59.45;3.063;0.411322695515199;10.628
112850B0380;0.05703;187;7;2;68.44;2.204;0.440481614342216;7.056
112850B0372;0.05017;108;8;2;51.06;1.357;0.662525105031607;1.552
112850B0362;0.89651;417;9;3;46.86;1.244;0.720839230769921;2.155
112850B0389;0.69916;347;6;2;50.94;1.171;0.797217025227441;1.190
112850B1526;0.15775;323;11;3;44.38;2.291;0.449899713112895;4.513
