PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;BOIS_%;NATURE_%;AUTRE_%;DOMINANTE;PROBA_DOMINANTE;SURF_TOTALE_M2
114300A0535;11;Villeneuve-la-Comptal;430;0A;0535;1;0.0;0.0;100.0;AUTRE;0;3496.2
114300A0534;11;Villeneuve-la-Comptal;430;0A;0534;1;0.0;0.0;100.0;AUTRE;0;4286.3
114300A0540;11;Villeneuve-la-Comptal;430;0A;0540;1;0.0;0.0;100.0;AUTRE;0;3571.0
114300A1453;11;Villeneuve-la-Comptal;430;0A;1453;1;0.2;0.0;99.8;AUTRE;0;9651.3
114300A0527;11;Villeneuve-la-Comptal;430;0A;0527;1;0.0;0.0;100.0;AUTRE;0;1666.3
114300A0533;11;Villeneuve-la-Comptal;430;0A;0533;1;0.0;0.0;100.0;AUTRE;0;5885.7
114300A0528;11;Villeneuve-la-Comptal;430;0A;0528;1;0.0;0.0;100.0;AUTRE;0;3417.4
114300A0526;11;Villeneuve-la-Comptal;430;0A;0526;1;8.67;0.0;91.33;AUTRE;0;3822.6
114300A0529;11;Villeneuve-la-Comptal;430;0A;0529;1;10.82;0.0;89.18;AUTRE;0;2504.9
114300A0519;11;Villeneuve-la-Comptal;430;0A;0519;1;2.71;0.0;97.29;AUTRE;0;3442.9
114300A0530;11;Villeneuve-la-Comptal;430;0A;0530;1;10.24;0.0;89.76;AUTRE;0;8533.0
114300A0532;11;Villeneuve-la-Comptal;430;0A;0532;1;0.0;0.0;100.0;AUTRE;0;3818.4
114300A0520;11;Villeneuve-la-Comptal;430;0A;0520;1;2.79;0.0;97.21;AUTRE;0;5497.0
114300A0525;11;Villeneuve-la-Comptal;430;0A;0525;1;98.55;0.0;1.45;BOIS;100;18106.9
114300A0531;11;Villeneuve-la-Comptal;430;0A;0531;1;0.0;0.0;100.0;AUTRE;0;1295.8
114300A0521;11;Villeneuve-la-Comptal;430;0A;0521;1;0.0;0.0;100.0;AUTRE;0;2221.8
114300A0522;11;Villeneuve-la-Comptal;430;0A;0522;1;0.0;0.0;100.0;AUTRE;0;6524.6
114300A0797;11;Villeneuve-la-Comptal;430;0A;0797;1;99.62;0.0;0.38;BOIS;100;85708.9
114300A0524;11;Villeneuve-la-Comptal;430;0A;0524;1;1.98;0.0;98.02;AUTRE;0;7345.6
114300A0523;11;Villeneuve-la-Comptal;430;0A;0523;1;0.0;0.0;100.0;AUTRE;0;28245.4
114300C0962;11;Villeneuve-la-Comptal;430;0C;0962;1;15.1;0.0;84.9;AUTRE;0;2476.7
114300C0964;11;Villeneuve-la-Comptal;430;0C;0964;1;0.0;0.0;100.0;AUTRE;0;3796.4
114300C0965;11;Villeneuve-la-Comptal;430;0C;0965;1;0.38;0.0;99.62;AUTRE;0;2341.1
114300C0966;11;Villeneuve-la-Comptal;430;0C;0966;1;80.58;2.47;16.95;BOIS;100;1822.3
114300C0969;11;Villeneuve-la-Comptal;430;0C;0969;1;67.25;0.0;32.75;BOIS;100;2990.0
