PL;ARTIFICIALISE_%;ARTIFICIALISE_PROBA;AGRICULTURE_%;AGRICULTURE_PROBA;NATURE_%;NATURE_PROBA;BOIS_%;BOIS_PROBA;EAU_%;EAU_PROBA;AUTRE_%;AUTRE_PROBA
11287WL0010;9.61;84.7;0.0;0.0;68.09;61.6;22.3;86.6;0.0;0.0;0.0;0.0
11287WL0009;8.77;84.7;0.0;0.0;68.11;61.5;23.12;86.5;0.0;0.0;0.0;0.0
11287WL0036;5.51;84.7;0.0;0.0;71.71;66.5;22.77;82.7;0.0;0.0;0.0;0.0
11287WL0039;3.35;84.7;0.0;0.0;89.72;66.4;6.92;85.9;0.0;0.0;0.0;0.0
11287WL0033;0.14;84.7;86.98;85.4;1.36;68.5;11.52;86.6;0.0;0.0;0.0;0.0
11287WL0032;0.0;0.0;62.49;85.4;0.47;68.5;37.04;86.6;0.0;0.0;0.0;0.0
11287WL0030;0.0;0.0;98.54;85.4;0.0;0.0;1.46;86.6;0.0;0.0;0.0;0.0
11287WL0027;16.88;84.7;2.65;85.4;52.24;68.5;28.22;86.6;0.0;0.0;0.0;0.0
11287WL0020;25.95;85.0;0.0;0.0;68.23;68.5;5.82;86.6;0.0;0.0;0.0;0.0
11287WL0029;0.0;0.0;85.57;85.4;0.0;0.0;14.43;86.6;0.0;0.0;0.0;0.0
11287WL0028;0.0;0.0;90.03;85.4;6.71;66.3;3.26;86.6;0.0;0.0;0.0;0.0
11287WL0026;14.55;84.8;22.73;85.2;43.47;68.4;19.26;86.6;0.0;0.0;0.0;0.0
11287WL0022;9.88;85.9;17.37;85.4;62.84;68.5;9.91;86.0;0.0;0.0;0.0;0.0
11287WL0013;21.51;84.7;0.0;0.0;68.72;68.8;9.77;83.5;0.0;0.0;0.0;0.0
11287WK0045;66.99;84.6;0.0;0.0;14.31;68.5;18.69;86.6;0.0;0.0;0.0;0.0
11287WK0053;7.48;85.2;17.83;85.4;29.24;68.2;45.45;86.6;0.0;0.0;0.0;0.0
11287WK0054;0.32;78.5;0.0;0.0;0.4;68.5;99.28;85.2;0.0;0.0;0.0;0.0
11287WK0087;0.08;84.7;0.0;0.0;4.84;68.5;95.08;86.6;0.0;0.0;0.0;0.0
11377WB0051;0.6;84.7;2.49;85.4;24.34;67.2;72.57;83.2;0.0;0.0;0.0;0.0
110150W0001;1.05;84.7;0.0;0.0;55.1;59.7;43.85;84.9;0.0;0.0;0.0;0.0
110150Z0139;0.0;0.0;65.63;85.4;9.1;61.9;25.27;86.6;0.0;0.0;0.0;0.0
110150Z0140;0.0;0.0;54.23;85.4;28.22;67.8;17.55;84.7;0.0;0.0;0.0;0.0
110150Z0138;0.0;0.0;74.9;85.4;4.36;60.7;20.74;86.6;0.0;0.0;0.0;0.0
110150Z0487;0.84;87.7;40.42;85.4;55.72;67.3;3.02;86.6;0.0;0.0;0.0;0.0
110150W0002;0.02;84.7;0.0;0.0;0.05;68.5;99.93;82.1;0.0;0.0;0.0;0.0
110150Z0486;8.75;78.5;2.67;85.4;78.94;63.6;9.64;86.6;0.0;0.0;0.0;0.0
110150Z0137;0.0;0.0;88.28;85.4;0.56;58.4;11.17;86.4;0.0;0.0;0.0;0.0
110150W0003;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.1;0.0;0.0;0.0;0.0
110150W0007;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.4;0.0;0.0;0.0;0.0
110150Z0160;0.75;83.0;0.06;85.4;0.06;68.5;99.13;82.9;0.0;0.0;0.0;0.0
110150Z0161;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.1;0.0;0.0;0.0;0.0
110150Z0162;0.0;0.0;0.0;0.0;0.0;0.0;100.0;86.2;0.0;0.0;0.0;0.0
110150Z0164;0.52;84.7;59.91;85.4;15.87;61.0;23.7;85.1;0.0;0.0;0.0;0.0
110150Z0163;0.0;0.0;0.76;85.4;0.01;0.0;99.23;85.6;0.0;0.0;0.0;0.0
11287WK0037;0.0;0.0;0.0;0.0;0.0;0.0;100.0;84.8;0.0;0.0;0.0;0.0
110150Z0145;0.0;0.0;0.0;0.0;32.18;61.8;67.82;82.5;0.0;0.0;0.0;0.0
110150Z0144;0.0;0.0;0.0;0.0;10.85;59.0;89.15;82.2;0.0;0.0;0.0;0.0
110150W0146;24.43;84.7;0.0;0.0;7.33;68.4;68.24;82.6;0.0;0.0;0.0;0.0
110150W0153;0.46;84.7;0.0;0.0;12.79;58.1;86.75;86.2;0.0;0.0;0.0;0.0
110150W0152;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.0;0.0;0.0;0.0;0.0
110150W0151;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.0;0.0;0.0;0.0;0.0
110150W0147;0.51;84.7;0.0;0.0;0.05;64.2;99.44;82.0;0.0;0.0;0.0;0.0
110150W0148;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.4;0.0;0.0;0.0;0.0
110150W0150;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.0;0.0;0.0;0.0;0.0
110150W0004;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.0;0.0;0.0;0.0;0.0
11287WK0061;49.16;84.7;0.0;0.0;14.17;67.9;36.67;85.4;0.0;0.0;0.0;0.0
11287WK0062;0.0;0.0;0.0;0.0;33.34;61.5;66.66;84.5;0.0;0.0;0.0;0.0
110150W0149;0.0;0.0;0.0;0.0;0.0;0.0;100.0;82.0;0.0;0.0;0.0;0.0
11287WL0007;1.72;84.7;0.0;0.0;72.54;63.1;25.75;83.0;0.0;0.0;0.0;0.0
11377WA0076;0.34;84.7;0.13;93.8;56.29;64.3;43.25;82.2;0.0;0.0;0.0;0.0
11287WL0040;1.37;84.7;6.31;85.4;73.63;65.7;18.69;82.3;0.0;0.0;0.0;0.0
11377WA0087;3.36;84.7;3.78;85.4;76.39;62.3;16.48;86.2;0.0;0.0;0.0;0.0
11287WL0038;0.1;84.7;66.26;93.8;17.79;68.4;15.84;86.6;0.0;0.0;0.0;0.0
11377WA0084;1.64;84.7;0.0;0.0;91.95;63.2;6.41;86.6;0.0;0.0;0.0;0.0
11287WL0041;0.0;0.0;52.75;85.4;14.86;63.5;32.39;83.9;0.0;0.0;0.0;0.0
11377WB0056;0.03;84.7;0.0;0.0;1.36;65.1;98.61;84.6;0.0;0.0;0.0;0.0
11377WB0058;0.52;84.7;0.0;0.0;0.69;67.9;98.78;83.5;0.0;0.0;0.0;0.0
11377WB0024;0.18;84.7;0.0;0.0;1.2;67.5;98.62;82.0;0.0;0.0;0.0;0.0
11377WB0053;0.0;0.0;0.0;0.0;5.29;68.6;94.71;82.1;0.0;0.0;0.0;0.0
11377WB0062;0.64;84.7;0.44;85.4;17.06;73.1;81.86;82.1;0.0;0.0;0.0;0.0
11377WB0054;0.0;0.0;0.0;0.0;78.74;67.6;21.26;82.2;0.0;0.0;0.0;0.0
11377WB0030;0.0;0.0;6.9;85.4;12.42;58.1;80.69;83.4;0.0;0.0;0.0;0.0
11377WB0042;12.48;84.7;0.0;0.0;0.0;0.0;87.52;82.0;0.0;0.0;0.0;0.0
11377WB0044;4.33;84.7;0.0;0.0;47.99;68.1;47.67;82.0;0.0;0.0;0.0;0.0
11377WB0041;25.41;84.7;1.35;85.4;7.38;68.2;65.86;84.6;0.0;0.0;0.0;0.0
11377WB0031;0.0;0.0;7.87;85.4;65.17;66.8;26.96;86.3;0.0;0.0;0.0;0.0
11377WB0043;3.88;85.0;0.0;0.0;68.16;68.5;27.96;83.1;0.0;0.0;0.0;0.0
11377WB0040;12.42;84.7;68.81;85.4;8.06;62.2;10.71;86.6;0.0;0.0;0.0;0.0
11377WB0045;8.02;84.7;0.32;85.4;34.87;68.5;56.79;82.1;0.0;0.0;0.0;0.0
11377WB0039;3.88;84.7;49.63;85.4;13.54;63.0;32.95;84.2;0.0;0.0;0.0;0.0
11377WB0046;0.0;0.0;66.32;85.4;19.41;59.8;14.27;86.5;0.0;0.0;0.0;0.0
11377WA0102;23.06;78.6;0.0;0.0;16.61;68.5;60.32;86.6;0.0;0.0;0.0;0.0
11377WB0059;0.11;84.7;0.0;0.0;4.38;59.2;95.51;84.7;0.0;0.0;0.0;0.0
11377WB0038;4.49;84.7;74.93;85.4;2.4;59.5;18.18;86.6;0.0;0.0;0.0;0.0
11377WB0052;0.0;0.0;37.17;85.4;0.96;78.1;61.87;82.1;0.0;0.0;0.0;0.0
11377WA0107;1.29;84.7;0.33;93.8;95.71;67.3;2.66;83.6;0.0;0.0;0.0;0.0
11377WA0089;1.15;84.7;0.0;0.0;50.29;58.1;48.56;82.5;0.0;0.0;0.0;0.0
11377WA0230;0.61;84.7;0.0;0.0;25.18;68.5;74.21;82.1;0.0;0.0;0.0;0.0
11377WA0090;0.0;0.0;0.0;0.0;3.16;68.5;96.84;82.0;0.0;0.0;0.0;0.0
11377WA0091;0.0;0.0;0.0;0.0;10.83;68.5;89.17;82.0;0.0;0.0;0.0;0.0
11377WA0092;1.46;84.7;0.0;0.0;0.0;0.0;98.54;82.0;0.0;0.0;0.0;0.0
11377WA0088;1.48;84.7;67.76;85.4;0.05;68.5;30.71;86.5;0.0;0.0;0.0;0.0
11377WA0093;0.36;84.7;0.0;0.0;16.69;68.5;82.95;82.0;0.0;0.0;0.0;0.0
11377WA0094;19.41;78.5;0.0;0.0;37.06;68.5;43.53;86.6;0.0;0.0;0.0;0.0
11377WB0049;1.11;84.7;0.0;0.0;76.82;68.5;21.21;82.7;0.85;96.1;0.0;0.0
11377WA0099;0.96;84.7;39.1;85.4;36.33;64.3;23.61;84.8;0.0;0.0;0.0;0.0
11377WB0047;0.88;84.7;0.45;85.4;77.97;68.1;20.7;86.6;0.0;0.0;0.0;0.0
11377WA0108;2.37;84.7;66.24;93.4;28.38;67.9;3.01;82.4;0.0;0.0;0.0;0.0
11377WA0101;2.82;78.5;67.78;85.4;2.55;68.5;26.85;86.6;0.0;0.0;0.0;0.0
11377WB0048;0.33;84.7;68.67;85.4;0.82;62.8;29.73;86.6;0.45;96.1;0.0;0.0
11377WA0100;0.29;84.7;84.44;85.4;2.57;63.8;12.71;82.8;0.0;0.0;0.0;0.0
11377WA0095;2.18;84.7;89.61;85.4;0.55;68.5;7.66;86.6;0.0;0.0;0.0;0.0
11377WA0097;12.49;84.7;1.46;85.4;3.52;65.2;82.53;82.4;0.0;0.0;0.0;0.0
11377WA0105;1.77;84.7;23.18;93.8;74.64;66.9;0.41;86.6;0.0;0.0;0.0;0.0
11377WB0061;0.0;0.0;59.32;85.4;3.16;58.1;37.52;82.7;0.0;0.0;0.0;0.0
11377WA0098;2.02;84.7;0.0;0.0;72.9;58.8;25.08;82.0;0.0;0.0;0.0;0.0
11377WA0096;0.58;84.7;36.64;93.8;2.54;68.5;60.24;82.0;0.0;0.0;0.0;0.0
11429CA0200;30.06;85.9;0.0;0.0;66.35;68.2;2.16;86.6;1.43;71.7;0.0;0.0
11429CA0198;45.49;85.4;0.0;0.0;47.2;67.6;4.63;86.6;2.69;71.7;0.0;0.0
11429CA0197;64.86;80.7;0.0;0.0;34.51;64.0;0.63;86.6;0.0;0.0;0.0;0.0
11429CA0196;83.81;78.5;0.0;0.0;16.19;58.1;0.0;0.0;0.0;0.0;0.0;0.0
11429CA0203;62.22;85.2;0.0;0.0;37.78;68.2;0.0;0.0;0.0;0.0;0.0;0.0
11429CA0204;57.35;86.5;0.0;0.0;38.76;67.5;0.0;0.0;3.89;71.7;0.0;0.0
11429CA0202;1.64;78.5;0.0;0.0;96.31;68.5;2.06;86.6;0.0;0.0;0.0;0.0
11429CA0201;26.33;90.2;0.0;0.0;67.0;68.0;6.67;86.6;0.0;0.0;0.0;0.0
11429CA0207;4.86;89.6;0.0;0.0;65.54;68.5;29.6;86.6;0.0;0.0;0.0;0.0
11429CA0115;36.28;85.1;0.0;0.0;42.28;67.8;18.16;86.6;3.28;71.7;0.0;0.0
11429BY0012;0.0;0.0;89.81;93.8;9.69;68.5;0.5;86.6;0.0;0.0;0.0;0.0
11429BY0011;0.0;0.0;94.33;87.4;4.26;68.5;1.41;86.6;0.0;0.0;0.0;0.0
11429BY0009;0.01;84.7;85.71;85.4;0.68;68.5;13.6;86.6;0.0;0.0;0.0;0.0
11429BZ0011;7.8;80.6;0.0;0.0;21.58;68.1;69.67;86.6;0.96;87.7;0.0;0.0
11429BZ0021;14.48;78.5;2.27;85.4;77.34;68.5;5.91;86.6;0.0;0.0;0.0;0.0
11429BZ0005;0.0;0.0;87.48;61.9;1.16;68.5;11.36;86.6;0.0;0.0;0.0;0.0
11429BZ0004;3.76;84.7;84.86;61.9;5.1;68.5;6.28;86.6;0.0;0.0;0.0;0.0
11429BZ0012;0.0;0.0;0.0;0.0;0.0;0.0;100.0;86.6;0.0;0.0;0.0;0.0
11429BZ0013;0.0;0.0;91.62;93.8;0.9;68.5;7.47;86.6;0.0;0.0;0.0;0.0
11429BZ0016;74.63;88.1;0.0;0.0;25.01;68.5;0.36;86.6;0.0;0.0;0.0;0.0
11429BZ0022;0.02;78.5;87.06;85.4;0.62;68.5;12.3;86.6;0.0;0.0;0.0;0.0
11429BZ0014;2.55;84.7;0.0;0.0;3.14;68.5;94.3;86.6;0.0;0.0;0.0;0.0
11429CA0061;18.72;85.8;0.0;0.0;48.18;67.7;33.1;86.6;0.0;0.0;0.0;0.0
