PL;ARTIFICIALISE_OSO;AGRICULTURE_OSO;NATURE_OSO;BOIS_OSO;EAU_OSO;AUTRE_OSO;ARTIFICIALISE_RPG;AGRICULTURE_RPG;NATURE_RPG;BOIS_RPG;EAU_RPG;AUTRE_RPG;ARTIFICIALISE_TOPO;AGRICULTURE_TOPO;NATURE_TOPO;BOIS_TOPO;EAU_TOPO;AUTRE_TOPO;ARTIFICIALISE_COSIA;AGRICULTURE_COSIA;NATURE_COSIA;BOIS_COSIA;EAU_COSIA;AUTRE_COSIA;ARTIFICIALISE_FORET;AGRICULTURE_FORET;NATURE_FORET;BOIS_FORET;EAU_FORET;AUTRE_FORET;DIV_ARTIFICIALISE;DIV_AGRICULTURE;DIV_NATURE;DIV_BOIS;DIV_EAU;INDICE_DIVERGENCE;TAUX_ACCORD_PRECIS;CONSENSUS;SURFACE;GRAVELIUS
11430AO0057;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;14.86;0.0;0.0;0.0;0.0;85.14;31.37;0.0;46.85;21.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.618066749910426;0.0;20.95195694917303;9.740312109989084;0.0;14.462067161814508;85.5379328381855;ARTIFICIALISE;1195.7815000007372;1.2085634928850706
11430AO0058;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;14.08;0.0;0.0;0.0;0.0;85.92;48.13;1.89;24.97;23.16;1.85;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.58029614739662;0.8452336954949206;11.16692347963395;10.357466871779025;0.8273451516749221;13.15545306919589;86.84454693080411;ARTIFICIALISE;1295.505399900582;1.1712399626165895
11430AO0059;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;12.53;0.0;0.0;0.0;0.0;87.47;24.18;0.0;10.72;63.59;1.52;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.84420055395969;0.0;4.79412974375955;28.438312537842325;0.679764665159936;15.151281500144298;84.8487184998557;ARTIFICIALISE;1405.467600026307;1.1475921563688822
11430AO0060;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;15.27;0.0;0.0;0.0;0.0;84.73;33.94;0.0;41.89;24.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.630432618458336;0.0;18.733777515493237;10.809152603233985;0.0;14.23467254743711;85.76532745256289;ARTIFICIALISE;1639.4719499909042;1.2762687573285276
11430AO0061;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;10.01;0.0;0.0;0.0;0.0;89.99;26.54;0.0;32.54;39.05;1.88;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.05767230839101;0.0;14.552330397568632;17.463690904273356;0.8407615595399209;14.982891033954584;85.01710896604541;ARTIFICIALISE;1316.3406000638477;1.1974853001286911
11430AO0062;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0;13.72;0.0;83.09;3.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;43.59412437473656;0.0;37.158977650091515;1.426611369644866;0.0;16.435942678894587;83.56405732110541;ARTIFICIALISE;155.10885001361092;2.398886723349423
11430AO0063;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;13.27;0.0;0.0;0.0;0.0;86.73;25.15;0.0;58.37;16.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.76301030816625;0.0;26.103857569332543;7.370080053839308;0.0;15.047389586267618;84.95261041373239;ARTIFICIALISE;1269.6161000320026;1.1468157388040159
11430AO0064;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;10.92;0.0;0.0;0.0;0.0;89.08;30.59;0.0;17.23;51.53;0.65;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.98207498445021;0.0;7.705490250464276;23.044916576112836;0.2906888370749727;14.60463412962046;85.39536587037954;ARTIFICIALISE;1260.2362499754659;1.5679420486780582
11430AO0065;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;10.76;0.0;0.0;0.0;0.0;89.24;24.5;0.0;28.27;47.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.00289894757266;0.0;12.64272834478381;21.126370251418013;0.0;15.154399508754897;84.84560049124511;ARTIFICIALISE;1475.3263999955543;1.2112316375700714
11430AO0066;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;19.57;0.0;0.0;0.0;0.0;80.43;45.11;0.8;35.99;18.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.815058651160584;0.35777087639996635;16.095217302043487;8.094566078549239;0.0;13.272522581630657;86.72747741836935;ARTIFICIALISE;1473.252200033992;1.1900036003028465
