PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;DOM_2018;PROB_2018;DOM_2019;PROB_2019;DOM_2020;PROB_2020;DOM_2021;PROB_2021;DOM_2022;PROB_2022;DOM_2023;PROB_2023;DOM_2024;PROB_2024;DOMINANTE;SCORE_STABILITE;PROBA_PONDEREE;LOGIQUE_ARBITRAGE
110040A0226;11;Alaigne;004;0A;0226;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110040A0392;11;Alaigne;004;0A;0392;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110040A0393;11;Alaigne;004;0A;0393;3;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110040B0482;11;Alaigne;004;0B;0482;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110340B0049;11;Belvèze-du-Razès;034;0B;0049;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110340B0024;11;Belvèze-du-Razès;034;0B;0024;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110340B0048;11;Belvèze-du-Razès;034;0B;0048;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110340B0026;11;Belvèze-du-Razès;034;0B;0026;3;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
110340B0043;11;Belvèze-du-Razès;034;0B;0043;3;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110340B0042;11;Belvèze-du-Razès;034;0B;0042;3;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
