PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;ARTIFICIALISE_%;AGRICULTURE_%;NATURE_%;BOIS_%;EAU_%;AUTRE_%;DOMINANTE;PROBA_PONDEREE;SURF_CAD
11287WL0018;11;Peyrolles;287;WL;0018;5;0.0;0.02;0.0;0.0;0.0;99.98;AUTRE;0.0;209.57459997663585
11287WL0012;11;Peyrolles;287;WL;0012;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;5774.117549984351
11287WL0019;11;Peyrolles;287;WL;0019;5;0.0;89.46;0.0;0.0;0.0;10.54;AGRICULTURE;72.9;3264.047500038626
11287WL0023;11;Peyrolles;287;WL;0023;5;0.0;67.1;0.0;0.0;0.0;32.9;AGRICULTURE;82.0;1213.8349000107246
11287WL0011;11;Peyrolles;287;WL;0011;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1314.0229999983544
11287WL0021;11;Peyrolles;287;WL;0021;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;326.88640000139725
11287WL0024;11;Peyrolles;287;WL;0024;5;0.0;5.13;0.0;0.0;0.0;94.87;AUTRE;0.0;4174.692749924941
11287WK0033;11;Peyrolles;287;WK;0033;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;17740.225149889142
11287WL0025;11;Peyrolles;287;WL;0025;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1643.3873999697555
11287WK0032;11;Peyrolles;287;WK;0032;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;2460.8983000524076
11287WK0030;11;Peyrolles;287;WK;0030;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;6473.851599897698
11287WK0041;11;Peyrolles;287;WK;0041;5;0.0;0.0;100.0;0.0;0.0;0.0;NATURE;100.0;10373.68289991591
11287WK0040;11;Peyrolles;287;WK;0040;5;0.0;0.0;100.0;0.0;0.0;0.0;NATURE;100.0;48481.41174989365
11287WK0083;11;Peyrolles;287;WK;0083;5;0.0;1.03;0.63;0.0;0.0;98.34;AUTRE;0.0;5063.636349917314
11287WK0044;11;Peyrolles;287;WK;0044;5;0.0;0.0;88.15;0.0;0.0;11.85;NATURE;100.0;27868.159449966894
11287WK0043;11;Peyrolles;287;WK;0043;5;0.0;0.0;100.0;0.0;0.0;0.0;NATURE;100.0;42497.975349978115
11287WK0042;11;Peyrolles;287;WK;0042;5;0.0;0.0;100.0;0.0;0.0;0.0;NATURE;100.0;5153.768600056073
11287WK0047;11;Peyrolles;287;WK;0047;5;0.0;0.0;15.4;0.0;0.0;84.6;AUTRE;0.0;14553.050050142043
11287WK0049;11;Peyrolles;287;WK;0049;5;0.0;0.0;34.95;0.0;0.0;65.05;AUTRE;0.0;8282.626299801812
11287WK0048;11;Peyrolles;287;WK;0048;5;0.0;0.0;95.2;0.0;0.0;4.8;NATURE;100.0;24421.365149953497
11287WK0052;11;Peyrolles;287;WK;0052;5;0.0;14.99;0.0;0.0;0.0;85.01;AUTRE;0.0;30563.835999767027
11287WK0050;11;Peyrolles;287;WK;0050;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;9039.323799902024
11287WK0039;11;Peyrolles;287;WK;0039;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;23847.40579988666
11287WL0010;11;Peyrolles;287;WL;0010;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;7680.482899935935
11287WL0009;11;Peyrolles;287;WL;0009;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;10081.8654501998
11287WL0036;11;Peyrolles;287;WL;0036;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;5566.308199997371
11287WL0039;11;Peyrolles;287;WL;0039;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;3698.511999952629
11287WL0033;11;Peyrolles;287;WL;0033;5;0.0;80.65;0.0;0.0;0.0;19.35;AGRICULTURE;100.0;3625.2018999538636
11287WL0032;11;Peyrolles;287;WL;0032;5;0.0;66.27;0.0;0.0;0.0;33.73;AGRICULTURE;100.0;5075.708449906611
11287WL0030;11;Peyrolles;287;WL;0030;5;0.0;96.58;0.0;0.0;0.0;3.42;AGRICULTURE;100.0;5475.185049900692
11287WL0027;11;Peyrolles;287;WL;0027;5;0.0;0.95;0.0;0.0;0.0;99.05;AUTRE;0.0;6990.359549890097
11287WL0020;11;Peyrolles;287;WL;0020;5;0.0;1.08;0.0;0.0;0.0;98.92;AUTRE;0.0;5311.937950033189
11287WL0029;11;Peyrolles;287;WL;0029;5;0.0;87.09;0.0;0.0;0.0;12.91;AGRICULTURE;100.0;5186.534450070519
11287WL0028;11;Peyrolles;287;WL;0028;5;0.0;86.36;0.0;0.0;0.0;13.64;AGRICULTURE;100.0;22005.526500148473
11287WL0026;11;Peyrolles;287;WL;0026;5;0.0;34.67;0.0;0.0;0.0;65.33;AUTRE;0.0;14733.279450034292
11287WL0022;11;Peyrolles;287;WL;0022;5;0.0;58.68;0.0;0.0;0.0;41.32;AGRICULTURE;100.0;6392.305899994279
11287WL0013;11;Peyrolles;287;WL;0013;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;4974.209349958295
11287WK0045;11;Peyrolles;287;WK;0045;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;185.8615499844731
11287WK0053;11;Peyrolles;287;WK;0053;5;0.0;0.0;1.27;0.0;0.0;98.73;AUTRE;0.0;10185.5473000809
11287WK0054;11;Peyrolles;287;WK;0054;5;0.0;0.0;95.27;0.0;0.0;4.73;NATURE;100.0;4368.034799979163
11287WK0087;11;Peyrolles;287;WK;0087;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1599.0318499095836
11377WB0051;11;Serres;377;WB;0051;5;0.0;3.26;0.0;0.0;0.0;96.74;AUTRE;0.0;16685.295449800982
110150W0001;11;Arques;015;0W;0001;5;0.0;0.0;94.72;0.0;0.0;5.28;NATURE;100.0;49907.93029989375
110150Z0139;11;Arques;015;0Z;0139;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1545.5921500112695
110150Z0140;11;Arques;015;0Z;0140;5;0.0;62.06;0.0;0.0;0.0;37.94;AGRICULTURE;100.0;13457.544550066143
110150Z0138;11;Arques;015;0Z;0138;5;0.0;73.05;0.0;0.0;0.0;26.95;AGRICULTURE;100.0;13591.206650011656
110150Z0487;11;Arques;015;0Z;0487;5;0.0;51.09;0.0;0.0;0.0;48.91;AGRICULTURE;100.0;31497.036149917105
110150W0002;11;Arques;015;0W;0002;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;26024.688100129602
110150Z0486;11;Arques;015;0Z;0486;5;0.0;4.73;0.0;0.0;0.0;95.27;AUTRE;0.0;1662.0935998975879
110150Z0137;11;Arques;015;0Z;0137;5;0.0;87.48;0.0;0.0;0.0;12.52;AGRICULTURE;100.0;28851.77374999776
110150W0003;11;Arques;015;0W;0003;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;15051.404200128207
